S. No.,Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
1,Paneer Tikka,600,20,30,35
2,Green Chutney,100,10,2,5
3,Aloo Paratha,450,45,10,18
4,Chole,550,35,18,20
5,Rice,420,90,8,4
6,Bhature,500,40,9,25
7,Pakori,480,35,8,28
8,Rajma,530,60,20,10
9,Bhindi,250,20,5,8
10,Poha,300,50,6,7
11,Daal,320,45,14,6
12,Patole (Local),350,30,10,12
13,Karele ka Bharwa,300,25,6,12
14,Omelette,280,2,12,22
15,Sooji Halwa,400,50,6,15
16,Vermicilli,350,55,6,10
17,Tea,90,15,2,4
18,Coffee,60,10,1,2
19,Raw Mango Launji,280,45,2,12
20,Raw Mango Chutney,200,30,1,5
21,Rotis And Parathas,300,50,9,10